ID	pwm_atg	pwm_ctg	pwm_gtg	pwm_ttg
ENSP00000379156		0	1	1	1
ENSP00000296666		1	1	0	1
ENSP00000465075		1	1	0	1
ENSP00000238561		1	0	1	0
ENSP00000276603		0	0	0	1
ENSP00000264720		1	0	1	0
ENSP00000323945		0	0	0	1
ENSP00000300747		0	1	0	0
ENSP00000277746		1	1	0	0
ENSP00000376139		0	0	1	0
ENSP00000272167		1	1	0	0
ENSP00000433721		1	0	1	0
ENSP00000347733		0	0	1	0
ENSP00000227638		0	0	1	0
ENSP00000448536		0	0	0	0
ENSP00000023939		0	0	0	1
ENSP00000362399		1	0	0	1
ENSP00000385000		1	0	0	0
ENSP00000372326		1	1	0	1
ENSP00000262428		0	0	0	0
ENSP00000338093		1	1	0	1
ENSP00000327255		0	1	0	0
ENSP00000262809		1	0	1	1
ENSP00000357887		0	1	1	1
ENSP00000384211		0	0	1	0
ENSP00000332604		1	0	0	0
ENSP00000369373		1	1	0	0
ENSP00000262367		1	0	0	1
ENSP00000380969		1	0	1	1
ENSP00000370023		0	0	0	0
ENSP00000273963		1	0	1	0
ENSP00000293842		0	0	0	0
ENSP00000417970		1	1	0	1
ENSP00000262966		1	0	1	0
ENSP00000440045		0	1	1	1
ENSP00000301335		1	0	1	1
ENSP00000263991		0	1	1	0
ENSP00000231572		0	0	1	0
ENSP00000358865		1	0	1	0
ENSP00000305790		1	1	1	0
ENSP00000382688		1	1	1	1
ENSP00000324020		0	1	0	0
ENSP00000356903		0	0	0	1
ENSP00000258654		0	0	1	0
ENSP00000271375		1	1	1	1
ENSP00000361926		1	0	0	0
ENSP00000302108		1	1	0	1
ENSP00000350698		0	1	0	1
ENSP00000364645		0	0	0	0
ENSP00000354468		0	0	0	0
ENSP00000413660		0	0	1	0
ENSP00000296684		1	0	0	0
ENSP00000321195		1	1	0	1
ENSP00000279249		0	0	0	0
ENSP00000295926		0	1	0	1
ENSP00000225603		0	1	0	1
ENSP00000361803		0	1	0	0
ENSP00000232607		1	1	1	1
ENSP00000261401		0	1	1	1
ENSP00000294168		0	0	0	0
ENSP00000338173		0	1	0	1
ENSP00000397759		1	0	1	0
ENSP00000278826		1	0	0	0
ENSP00000263736		1	1	0	0
ENSP00000261434		0	0	0	1
ENSP00000338345		1	0	1	0
ENSP00000350075		0	1	0	0
ENSP00000376611		0	1	1	0
ENSP00000295087		0	0	1	1
ENSP00000297508		0	0	0	0
ENSP00000261023		1	1	1	1
ENSP00000257245		0	0	0	0
ENSP00000287394		0	1	0	0
ENSP00000358400		1	1	1	1
ENSP00000218439		0	0	0	0
ENSP00000272227		0	0	1	0
ENSP00000325376		1	1	1	1
ENSP00000288235		1	1	1	1
ENSP00000254806		0	0	0	0
ENSP00000302830		0	0	0	0
ENSP00000273986		0	0	1	0
ENSP00000204566		0	0	1	0
ENSP00000333212		1	1	1	1
ENSP00000228284		1	1	0	0
ENSP00000424757		1	1	1	0
ENSP00000254900		1	0	0	0
ENSP00000354669		1	0	0	0
ENSP00000361254		0	0	0	0
ENSP00000337618		0	1	1	1
ENSP00000298281		0	0	1	1
ENSP00000314193		0	0	1	0
ENSP00000346725		0	0	0	1
ENSP00000299157		0	0	0	0
ENSP00000258729		0	0	0	1
ENSP00000358554		0	1	0	0
ENSP00000393316		1	1	1	1
ENSP00000361824		0	0	0	0
ENSP00000216479		0	0	0	0
ENSP00000369042		1	1	1	1
ENSP00000304353		0	0	1	0
ENSP00000259365		1	1	0	1
ENSP00000312458		0	1	0	0
ENSP00000395706		0	0	1	1
ENSP00000338814		0	0	0	0
ENSP00000260356		1	1	0	1
ENSP00000378145		1	1	0	1
ENSP00000222329		0	0	0	0
ENSP00000346037		1	1	0	0
ENSP00000312550		0	0	0	0
ENSP00000265085		1	1	1	1
ENSP00000376930		0	1	1	1
ENSP00000392147		0	0	1	1
ENSP00000220166		0	0	0	0
ENSP00000238341		0	1	0	0
ENSP00000344668		0	0	0	0
ENSP00000282058		1	0	0	1
ENSP00000307863		0	0	0	0
ENSP00000394316		0	0	0	0
ENSP00000358081		0	0	0	0
ENSP00000365019		0	1	1	1
ENSP00000343398		1	1	0	1
ENSP00000358909		1	1	1	1
ENSP00000299563		1	1	1	1
ENSP00000264883		1	1	0	0
ENSP00000339245		1	1	0	1
ENSP00000246554		0	0	0	0
ENSP00000308430		1	1	1	1
ENSP00000356898		1	0	0	0
ENSP00000348168		0	0	0	0
ENSP00000265260		0	1	0	0
ENSP00000365745		0	0	0	0
ENSP00000334642		0	1	1	1
ENSP00000373354		0	0	1	1
ENSP00000261386		1	1	1	0
ENSP00000351769		0	0	0	0
ENSP00000402551		0	0	0	0
ENSP00000470004		0	0	0	0
ENSP00000435096		0	1	0	0
ENSP00000353575		0	1	0	0
ENSP00000327104		0	1	1	1
ENSP00000357442		0	1	1	1
ENSP00000016946		1	1	1	1
ENSP00000259963		0	1	0	1
ENSP00000340505		0	1	1	1
ENSP00000414066		0	1	0	1
ENSP00000358272		0	0	0	0
ENSP00000253382		1	0	0	0
ENSP00000264220		0	1	1	1
ENSP00000294435		0	0	0	0
ENSP00000264893		0	1	0	1
ENSP00000238497		0	1	1	0
ENSP00000298229		1	0	0	0
ENSP00000279907		1	1	0	0
ENSP00000358953		1	0	0	0
ENSP00000308000		1	0	0	1
ENSP00000253047		0	0	0	0
ENSP00000262210		0	0	0	0
ENSP00000291552		1	0	0	0
ENSP00000288757		0	1	0	0
ENSP00000360798		1	1	0	1
ENSP00000418194		1	1	1	1
ENSP00000264279		0	0	0	0
ENSP00000411418		1	1	0	0
ENSP00000360821		1	0	0	0
ENSP00000340698		1	0	0	0
ENSP00000295066		0	0	0	0
ENSP00000306344		0	0	0	1
ENSP00000227135		0	0	0	0
ENSP00000359403		1	1	1	0
ENSP00000361229		0	0	1	0
ENSP00000262580		1	0	0	0
ENSP00000316772		1	0	1	0
ENSP00000346671		0	0	1	1
ENSP00000361014		0	0	0	0
ENSP00000274498		1	0	1	1
ENSP00000259253		1	1	1	1
ENSP00000298937		0	0	0	0
ENSP00000339435		0	1	0	1
ENSP00000262554		1	1	0	0
ENSP00000296088		0	0	0	1
ENSP00000376178		1	0	1	0
ENSP00000367407		0	0	0	0
ENSP00000226253		1	0	0	1
ENSP00000386458		1	1	1	1
ENSP00000354848		0	0	0	0
ENSP00000328062		1	1	0	1
ENSP00000358320		0	0	1	0
ENSP00000294618		1	0	0	0
ENSP00000278422		0	0	0	0
ENSP00000382004		1	1	1	1
ENSP00000261908		1	1	1	1
ENSP00000335261		0	0	0	1
ENSP00000367923		0	0	0	0
ENSP00000260753		0	1	0	0
ENSP00000294258		0	0	0	0
ENSP00000369411		0	1	0	0
ENSP00000221455		0	0	0	0
ENSP00000357341		0	0	1	1
ENSP00000345974		0	0	0	0
ENSP00000396441		0	0	0	0
ENSP00000303758		1	1	1	1
ENSP00000359606		0	1	0	0
ENSP00000335084		0	0	1	0
ENSP00000225298		1	0	1	0
ENSP00000246535		1	1	0	0
ENSP00000305632		0	0	0	0
ENSP00000344220		1	1	0	0
ENSP00000315693		0	0	0	0
ENSP00000339587		0	0	0	0
ENSP00000346046		0	1	0	0
ENSP00000396452		1	0	0	0
ENSP00000290921		1	0	1	1
ENSP00000278840		1	0	0	1
ENSP00000296181		0	1	0	1
ENSP00000256897		0	0	0	0
ENSP00000427463		1	0	1	0
ENSP00000348010		0	1	0	0
ENSP00000309163		1	0	0	1
ENSP00000370750		0	0	0	0
ENSP00000299402		1	0	0	0
ENSP00000230085		0	1	0	0
ENSP00000352463		0	0	1	1
ENSP00000254286		0	0	1	0
ENSP00000342023		0	1	1	0
ENSP00000418744		0	0	0	0
ENSP00000352820		1	0	0	1
ENSP00000350941		1	1	1	0
ENSP00000318884		0	1	1	1
ENSP00000377969		0	0	0	0
ENSP00000357775		1	0	0	0
ENSP00000343867		1	1	1	0
ENSP00000265523		0	0	0	0
ENSP00000330289		0	0	1	1
ENSP00000360141		0	1	0	0
ENSP00000466399		0	0	1	0
ENSP00000300161		1	0	1	1
ENSP00000349629		1	1	1	1
ENSP00000211287		0	0	0	1
ENSP00000342991		0	0	0	0
ENSP00000296257		0	1	1	0
ENSP00000356807		0	0	1	1
ENSP00000435210		1	1	1	0
ENSP00000229922		1	1	1	0
ENSP00000359225		0	1	0	1
ENSP00000346694		0	1	0	0
ENSP00000387536		0	0	1	0
ENSP00000295641		0	1	0	0
ENSP00000355315		1	0	1	0
ENSP00000264059		0	0	0	0
ENSP00000262105		1	0	0	0
ENSP00000324729		1	1	0	0
ENSP00000383505		1	0	0	0
ENSP00000301459		1	0	0	0
ENSP00000355902		1	0	0	1
ENSP00000281543		1	0	0	1
ENSP00000376410		1	0	0	0
ENSP00000338607		0	0	0	0
ENSP00000342267		0	0	1	0
ENSP00000359531		0	0	1	0
ENSP00000312599		1	0	0	0
ENSP00000299886		1	1	1	1
ENSP00000329471		1	0	0	0
ENSP00000355968		0	1	1	1
ENSP00000460823		1	0	1	0
ENSP00000350869		1	0	0	1
ENSP00000318687		1	0	0	1
ENSP00000315013		1	0	0	0
ENSP00000295736		0	1	1	1
ENSP00000229179		1	1	0	1
ENSP00000367910		0	0	0	0
ENSP00000418210		0	1	1	0
ENSP00000309690		1	1	1	1
ENSP00000381010		0	0	0	1
ENSP00000278483		1	0	0	1
ENSP00000360316		1	0	0	1
ENSP00000239940		0	0	1	1
ENSP00000376568		0	0	1	1
ENSP00000355050		1	0	0	0
ENSP00000380413		0	0	0	0
ENSP00000298198		0	1	1	1
ENSP00000262843		0	0	0	0
ENSP00000303482		0	0	0	0
ENSP00000350094		1	1	0	1
ENSP00000321239		0	1	1	1
ENSP00000340278		0	0	0	0
ENSP00000363384		0	0	0	1
ENSP00000284503		0	0	0	0
ENSP00000357637		1	0	0	1
ENSP00000284202		1	1	0	0
ENSP00000362639		0	0	0	0
ENSP00000351209		1	0	1	1
ENSP00000175506		0	0	1	0
ENSP00000370557		0	0	0	0
ENSP00000348714		0	0	1	1
ENSP00000350676		0	1	0	1
ENSP00000259808		0	0	0	0
ENSP00000403524		1	0	1	0
ENSP00000301765		1	0	0	1
ENSP00000362092		1	1	0	0
ENSP00000416658		0	0	0	0
ENSP00000392270		0	0	0	1
ENSP00000261712		0	1	1	0
ENSP00000349415		0	1	1	1
ENSP00000382327		0	0	0	0
ENSP00000261441		0	1	1	1
ENSP00000321971		1	0	0	0
ENSP00000251547		0	0	0	0
ENSP00000325355		0	1	0	0
ENSP00000262374		0	0	1	0
ENSP00000278618		1	1	0	1
ENSP00000380156		1	0	0	0
ENSP00000415332		1	1	1	1
ENSP00000321546		1	1	1	0
ENSP00000261593		1	1	1	1
ENSP00000341247		0	1	0	1
ENSP00000303887		0	0	0	0
ENSP00000017003		1	0	0	0
ENSP00000275605		0	1	0	0
ENSP00000378332		0	0	0	0
ENSP00000299163		1	1	1	1
ENSP00000377298		1	0	1	1
ENSP00000265112		1	0	0	1
ENSP00000315017		1	0	0	0
ENSP00000363506		1	0	0	0
ENSP00000385215		0	0	1	0
ENSP00000346050		1	0	0	0
ENSP00000367629		1	0	0	0
ENSP00000380982		0	0	1	0
ENSP00000355217		0	0	0	0
ENSP00000369431		0	0	1	0
ENSP00000374268		1	1	0	0
ENSP00000340220		0	0	0	0
ENSP00000209875		1	1	1	1
ENSP00000331915		0	1	1	0
ENSP00000267436		1	0	1	0
ENSP00000412324		0	0	1	1
ENSP00000419325		1	0	0	1
ENSP00000252785		1	0	1	0
ENSP00000242210		1	1	1	0
ENSP00000262127		1	0	0	0
ENSP00000351684		1	0	0	1
ENSP00000264712		0	0	0	0
ENSP00000227474		1	0	0	0
ENSP00000322439		1	0	0	0
ENSP00000256079		0	1	0	0
ENSP00000354972		1	1	1	0
ENSP00000362803		0	0	0	0
ENSP00000351947		0	1	1	0
ENSP00000456832		0	0	0	0
ENSP00000246914		1	0	1	0
ENSP00000448182		1	1	1	1
ENSP00000198765		1	1	0	1
ENSP00000347339		0	0	0	0
ENSP00000263119		1	0	1	1
ENSP00000186436		1	1	1	0
ENSP00000353864		0	0	1	0
ENSP00000324897		0	0	0	0
ENSP00000340271		0	1	0	0
ENSP00000338860		0	0	0	1
ENSP00000399968		1	1	1	0
ENSP00000366565		1	0	0	0
ENSP00000262430		1	1	1	1
ENSP00000264668		0	1	1	0
ENSP00000216554		0	1	1	1
ENSP00000239243		0	0	0	0
ENSP00000376570		1	1	1	0
ENSP00000361289		0	0	0	0
ENSP00000378349		0	1	1	1
ENSP00000222726		0	1	1	0
ENSP00000376317		0	1	0	0
ENSP00000339467		0	0	0	0
ENSP00000265881		1	0	1	0
ENSP00000306881		0	0	0	0
ENSP00000300128		0	1	0	1
ENSP00000258774		0	0	0	0
ENSP00000360803		0	1	1	0
ENSP00000216780		1	0	0	0
ENSP00000268533		1	0	1	0
ENSP00000359160		0	0	0	1
ENSP00000355607		1	0	0	1
ENSP00000376306		0	0	0	1
ENSP00000238156		0	0	0	0
ENSP00000437073		0	0	1	0
ENSP00000394390		1	0	0	0
ENSP00000344909		0	1	1	1
ENSP00000215832		1	1	1	1
ENSP00000320184		0	0	1	1
ENSP00000285848		0	1	0	1
ENSP00000295959		0	0	1	1
ENSP00000356853		1	0	0	0
ENSP00000464814		1	0	0	0
ENSP00000284031		1	1	1	1
ENSP00000371798		1	0	1	0
ENSP00000342075		1	0	0	0
ENSP00000358547		0	0	0	1
ENSP00000383911		0	0	0	0
ENSP00000301838		1	0	0	0
ENSP00000279281		0	0	0	0
ENSP00000317376		0	1	1	1
ENSP00000351602		0	1	1	1
ENSP00000281828		0	0	1	0
ENSP00000422473		0	1	1	1
ENSP00000327072		0	0	0	0
ENSP00000371535		0	1	1	1
ENSP00000370808		0	0	0	1
ENSP00000309749		0	0	0	0
ENSP00000417581		0	0	0	1
ENSP00000432768		1	1	1	1
ENSP00000284770		0	0	0	0
ENSP00000360671		0	0	1	1
ENSP00000377807		1	0	0	0
ENSP00000359305		1	1	0	0
ENSP00000354526		0	1	0	0
ENSP00000368884		0	1	1	1
ENSP00000233154		0	0	0	0
ENSP00000270066		1	0	0	1
ENSP00000414982		0	0	0	0
ENSP00000227868		1	1	0	0
ENSP00000262544		0	1	0	1
ENSP00000262306		0	0	0	0
ENSP00000262173		1	1	0	1
ENSP00000234170		1	1	1	0
ENSP00000420213		1	0	1	1
ENSP00000333401		0	0	0	0
ENSP00000354724		1	1	1	1
ENSP00000296490		1	0	0	0
ENSP00000355739		0	0	1	1
ENSP00000345502		1	1	1	0
ENSP00000262850		0	1	0	1
ENSP00000345771		1	1	1	0
ENSP00000376871		0	0	0	0
ENSP00000368020		0	1	1	0
ENSP00000317468		0	0	0	0
ENSP00000299259		0	1	0	0
ENSP00000364150		0	0	0	1
ENSP00000267973		0	0	0	1
ENSP00000379133		1	0	0	1
ENSP00000336701		0	1	1	0
ENSP00000307939		0	1	1	0
ENSP00000224652		1	0	1	0
ENSP00000290776		1	1	0	0
ENSP00000380444		1	1	1	0
ENSP00000263383		1	0	0	0
ENSP00000226230		1	1	0	1
ENSP00000263867		0	0	1	0
ENSP00000215980		1	0	0	0
ENSP00000277225		1	1	1	1
ENSP00000387535		1	1	1	0
ENSP00000382390		1	0	0	0
ENSP00000306117		0	0	0	1
ENSP00000361232		0	1	1	1
ENSP00000319851		0	1	1	1
ENSP00000363999		0	0	0	1
ENSP00000262942		1	0	0	0
ENSP00000430432		1	1	1	1
ENSP00000430241		1	1	1	1
ENSP00000345001		1	1	1	0
ENSP00000337122		1	1	0	1
ENSP00000371362		0	0	0	0
ENSP00000337008		1	0	1	0
ENSP00000268695		1	0	0	0
ENSP00000261601		1	0	0	0
ENSP00000314499		1	0	0	1
ENSP00000352408		1	1	0	0
ENSP00000314407		0	1	1	0
ENSP00000297579		0	1	1	0
ENSP00000263753		0	0	0	0
ENSP00000273541		1	0	1	0
ENSP00000363621		0	0	0	0
ENSP00000341361		0	1	1	0
ENSP00000219097		1	1	0	0
ENSP00000288828		0	1	1	1
ENSP00000357644		1	0	1	1
ENSP00000336783		1	1	0	1
ENSP00000255108		0	1	1	0
ENSP00000228506		1	1	0	0
ENSP00000257860		0	0	0	0
ENSP00000312158		1	0	1	0
ENSP00000354791		1	0	1	0
ENSP00000359290		0	1	0	0
ENSP00000309539		1	1	1	1
ENSP00000351480		0	0	0	1
ENSP00000238831		1	1	1	1
ENSP00000301587		0	0	0	1
ENSP00000263556		1	0	1	0
ENSP00000356729		1	0	1	0
ENSP00000265447		1	0	0	1
ENSP00000272732		0	0	1	1
ENSP00000378958		0	1	0	0
ENSP00000414624		0	1	0	1
ENSP00000329915		0	0	0	0
ENSP00000400717		1	0	1	1
ENSP00000261070		0	0	1	0
ENSP00000354762		1	0	1	0
ENSP00000261858		1	0	1	1
ENSP00000294053		1	0	0	0
ENSP00000350036		0	0	0	0
ENSP00000379047		0	0	0	0
ENSP00000269321		0	0	0	0
ENSP00000386186		0	0	0	0
ENSP00000375975		0	0	0	1
ENSP00000376293		0	0	1	0
ENSP00000326170		1	0	1	1
ENSP00000360992		0	1	1	0
ENSP00000400312		0	1	0	0
ENSP00000313829		0	1	0	0
ENSP00000403117		0	0	1	0
ENSP00000321449		0	1	1	0
ENSP00000340427		1	1	1	1
ENSP00000265175		1	1	1	0
ENSP00000305696		0	0	0	1
ENSP00000325017		1	0	0	0
ENSP00000284984		1	0	0	0
ENSP00000362942		1	0	0	0
ENSP00000367615		0	0	0	0
ENSP00000350990		1	0	0	1
ENSP00000221086		0	1	1	0
ENSP00000318641		1	1	0	1
ENSP00000230792		1	0	1	1
ENSP00000265827		0	1	1	0
ENSP00000356047		0	0	1	0
ENSP00000265641		1	0	1	1
ENSP00000316924		0	0	0	1
ENSP00000262605		1	1	1	1
ENSP00000354238		1	1	1	1
ENSP00000361306		0	0	1	0
ENSP00000251453		0	0	0	0
ENSP00000260643		1	0	0	0
ENSP00000365370		0	0	1	0
ENSP00000262288		0	0	0	0
ENSP00000261596		0	1	0	0
ENSP00000328228		0	1	0	0
ENSP00000322242		0	1	0	0
ENSP00000246957		0	0	1	0
ENSP00000262053		0	1	1	1
ENSP00000303088		0	0	0	0
ENSP00000326128		0	1	1	1
ENSP00000386738		1	0	0	0
ENSP00000340279		1	1	0	0
ENSP00000330361		0	1	1	1
ENSP00000290401		1	1	0	0
ENSP00000359804		1	1	0	1
ENSP00000358635		1	1	1	0
ENSP00000360773		0	1	0	0
ENSP00000261303		1	1	1	0
ENSP00000261813		0	1	0	0
ENSP00000215917		0	1	1	1
ENSP00000353508		1	1	1	1
ENSP00000347602		0	1	0	1
ENSP00000436786		1	1	1	1
ENSP00000256497		0	1	0	0
ENSP00000339834		0	1	0	1
ENSP00000313454		1	1	1	1
ENSP00000338785		1	0	1	0
ENSP00000265371		0	1	1	0
ENSP00000259711		1	1	1	1
ENSP00000341938		1	0	0	0
ENSP00000390011		0	0	0	0
ENSP00000344460		1	0	0	0
ENSP00000268711		1	0	1	0
ENSP00000331640		1	0	0	0
ENSP00000229416		0	1	0	1
ENSP00000395929		1	1	1	1
ENSP00000363205		0	0	0	1
ENSP00000361066		1	0	0	0
ENSP00000272610		0	0	1	0
ENSP00000312634		0	0	0	0
ENSP00000352834		0	0	1	1
ENSP00000369785		0	0	0	0
ENSP00000310094		1	1	0	0
ENSP00000300605		1	0	1	0
ENSP00000239614		1	1	0	1
ENSP00000454783		0	1	0	1
ENSP00000294360		0	1	0	1
ENSP00000361418		0	1	1	0
ENSP00000253778		0	1	0	0
ENSP00000377934		0	0	0	0
ENSP00000302441		1	1	0	0
ENSP00000282077		1	1	1	0
ENSP00000353452		1	1	1	0
ENSP00000377793		0	0	0	1
ENSP00000354061		1	0	0	1
ENSP00000253039		1	1	0	1
ENSP00000306548		0	0	0	0
ENSP00000265709		0	0	1	0
ENSP00000299736		0	0	0	0
ENSP00000262300		1	0	0	0
ENSP00000323065		1	0	0	1
ENSP00000381167		1	1	1	1
ENSP00000363868		1	1	1	1
ENSP00000314655		0	0	0	0
ENSP00000287437		0	0	0	1
ENSP00000253458		1	1	1	0
ENSP00000363071		0	0	1	0
ENSP00000290291		0	0	0	0
ENSP00000347188		0	1	0	0
ENSP00000364054		0	0	0	0
ENSP00000350896		1	0	1	0
ENSP00000358737		0	0	1	1
ENSP00000264908		0	0	0	0
ENSP00000337623		0	0	0	0
ENSP00000359540		1	0	1	0
ENSP00000379042		0	0	0	1
ENSP00000356263		0	1	1	1
ENSP00000429367		0	1	1	0
ENSP00000370883		1	1	1	0
ENSP00000334373		0	1	1	1
ENSP00000309415		0	0	0	1
ENSP00000312356		1	0	0	0
ENSP00000373657		1	1	1	0
ENSP00000367398		1	0	0	0
ENSP00000366746		0	1	0	0
ENSP00000010299		1	0	0	0
ENSP00000355621		1	1	0	0
ENSP00000398131		1	1	0	1
ENSP00000361162		0	1	0	0
ENSP00000343054		0	1	0	0
ENSP00000441954		0	1	1	1
ENSP00000377914		1	1	0	0
ENSP00000263026		1	1	0	1
ENSP00000370109		1	1	0	0
ENSP00000410083		0	0	1	1
ENSP00000306320		1	1	0	1
ENSP00000355467		0	1	0	1
ENSP00000314153		1	0	0	0
ENSP00000367355		1	0	1	0
ENSP00000456548		1	0	0	0
ENSP00000385276		1	1	1	1
ENSP00000353094		0	1	0	0
ENSP00000366927		1	1	0	0
ENSP00000378152		0	0	0	0
ENSP00000373684		0	1	1	1
ENSP00000350009		1	1	1	0
ENSP00000418397		1	0	0	0
ENSP00000447001		0	0	0	0
ENSP00000257940		0	1	1	0
ENSP00000322175		0	1	1	1
ENSP00000378920		0	0	0	0
ENSP00000359019		0	0	0	0
ENSP00000309092		1	0	0	0
ENSP00000360488		0	0	0	1
ENSP00000305459		0	1	1	1
ENSP00000413445		1	1	1	1
ENSP00000360371		0	0	0	0
ENSP00000339340		1	1	1	1
ENSP00000265713		1	1	1	1
ENSP00000352400		1	0	1	1
ENSP00000419126		0	1	0	0
ENSP00000344504		0	1	0	1
ENSP00000326869		0	1	1	0
ENSP00000368305		0	1	1	1
ENSP00000218224		0	0	0	0
ENSP00000286186		0	1	0	0
ENSP00000274695		0	1	0	1
ENSP00000333568		1	0	1	0
ENSP00000261623		0	0	0	0
ENSP00000266771		1	0	0	0
ENSP00000350136		1	1	1	1
ENSP00000342343		0	0	0	0
ENSP00000306477		0	1	0	0
ENSP00000301945		1	1	1	1
ENSP00000354826		1	1	0	0
ENSP00000361731		1	1	1	1
ENSP00000341826		0	0	1	0
ENSP00000343746		1	1	1	0
ENSP00000309714		1	0	1	1
ENSP00000323635		0	0	1	0
ENSP00000263650		0	0	0	0
ENSP00000374372		1	0	0	0
ENSP00000320447		0	0	0	0
ENSP00000303754		1	0	0	0
ENSP00000299138		1	1	1	0
ENSP00000323811		0	0	0	0
ENSP00000360683		0	0	0	1
ENSP00000418529		1	0	0	0
ENSP00000367299		0	1	1	1
ENSP00000306817		1	1	0	0
ENSP00000325091		1	1	0	1
ENSP00000272748		1	1	1	1
ENSP00000381657		1	0	1	0
ENSP00000406885		1	1	1	1
ENSP00000423600		1	0	1	1
ENSP00000408695		1	1	1	0
ENSP00000281513		1	0	1	1
ENSP00000226004		1	0	0	1
ENSP00000360576		0	0	0	0
ENSP00000430269		1	0	0	0
ENSP00000451112		0	0	0	0
ENSP00000361064		0	0	1	1
ENSP00000332756		0	1	0	1
ENSP00000361635		0	0	0	0
ENSP00000261868		0	0	0	0
ENSP00000399259		0	0	1	0
ENSP00000379739		1	0	0	0
ENSP00000306080		1	0	1	0
ENSP00000262370		1	0	0	0
ENSP00000285968		1	1	1	1
ENSP00000345079		0	0	0	0
ENSP00000303909		1	0	1	0
ENSP00000344307		0	0	1	1
ENSP00000360270		1	1	0	1
ENSP00000267970		0	1	1	1
ENSP00000346080		0	1	0	1
ENSP00000453793		0	1	1	1
ENSP00000262887		1	0	0	1
ENSP00000268802		1	0	0	0
ENSP00000441927		1	1	1	1
ENSP00000297814		0	0	0	0
ENSP00000300176		0	0	1	0
ENSP00000386134		0	0	0	0
ENSP00000345731		0	0	1	0
ENSP00000293379		1	0	1	0
ENSP00000339787		0	0	0	1
ENSP00000363676		0	0	0	0
ENSP00000264932		0	0	0	0
ENSP00000276390		1	1	1	1
ENSP00000413572		0	1	0	1
ENSP00000253693		1	0	1	0
ENSP00000388311		0	1	1	1
ENSP00000263063		1	0	0	0
ENSP00000307705		0	0	0	0
ENSP00000301727		0	0	0	0
ENSP00000273398		1	0	1	1
ENSP00000355884		0	0	0	1
ENSP00000355689		0	0	0	0
ENSP00000346015		1	1	1	1
ENSP00000385481		0	0	0	0
ENSP00000329757		1	0	0	0
ENSP00000370194		0	0	0	1
ENSP00000380178		1	0	1	1
ENSP00000366487		0	1	1	1
ENSP00000300714		0	0	0	0
ENSP00000350447		1	1	0	0
ENSP00000283122		0	1	0	1
ENSP00000284995		1	0	0	0
ENSP00000215071		0	0	0	0
ENSP00000369810		0	0	0	0
ENSP00000262965		1	1	0	0
ENSP00000366246		1	1	1	0
ENSP00000365756		0	0	1	0
ENSP00000282074		0	0	0	0
ENSP00000290246		1	0	1	1
ENSP00000250937		0	0	0	0
ENSP00000256441		1	0	1	0
ENSP00000326759		1	0	0	1
ENSP00000365926		0	0	1	1
ENSP00000310800		0	0	1	1
ENSP00000339720		0	0	0	1
ENSP00000287936		1	1	1	0
ENSP00000332750		1	0	0	0
ENSP00000371577		1	0	1	0
ENSP00000339527		1	1	0	0
ENSP00000320359		0	0	0	0
ENSP00000393953		0	1	1	0
ENSP00000309334		1	1	1	0
ENSP00000350934		0	0	0	0
ENSP00000355211		0	0	0	1
ENSP00000409231		0	0	0	0
ENSP00000381377		0	0	1	0
ENSP00000263377		1	1	0	0
ENSP00000334153		0	0	0	0
ENSP00000454836		1	0	1	0
ENSP00000296577		1	1	0	0
ENSP00000375777		0	0	0	0
ENSP00000360286		1	0	0	1
ENSP00000376349		0	0	0	1
ENSP00000346890		1	0	0	0
ENSP00000265056		1	0	1	0
ENSP00000315112		1	0	0	0
ENSP00000377086		1	0	1	1
ENSP00000262890		0	0	0	0
ENSP00000429344		0	0	1	1
ENSP00000364037		0	0	0	0
ENSP00000467676		0	0	0	0
ENSP00000287482		1	0	0	1
ENSP00000256383		0	1	1	0
ENSP00000343298		0	1	0	1
ENSP00000381567		0	1	1	1
ENSP00000355385		0	0	0	0
ENSP00000310129		0	0	1	0
ENSP00000244007		1	1	0	1
ENSP00000242257		1	0	0	0
ENSP00000365550		0	0	0	1
ENSP00000347206		1	0	0	0
ENSP00000240651		0	0	0	1
ENSP00000303427		1	0	1	1
ENSP00000368405		0	0	0	0
ENSP00000262160		1	1	1	1
ENSP00000216027		0	0	1	0
ENSP00000270586		1	0	0	0
ENSP00000358501		1	0	0	0
ENSP00000363667		0	1	0	1
ENSP00000352144		0	1	1	1
ENSP00000266058		1	0	0	1
ENSP00000363899		0	0	0	1
ENSP00000341082		0	0	0	0
ENSP00000434995		0	0	1	0
ENSP00000295598		0	1	1	1
ENSP00000351113		1	1	1	1
ENSP00000314458		1	0	0	1
ENSP00000278935		0	1	0	0
ENSP00000039989		1	1	1	1
ENSP00000260662		1	0	0	1
ENSP00000369887		0	1	1	0
ENSP00000313034		0	0	1	0
ENSP00000361423		1	0	0	0
ENSP00000350874		0	1	1	0
ENSP00000355963		0	0	0	1
ENSP00000370741		1	0	1	1
ENSP00000287097		1	0	1	0
ENSP00000298838		1	0	0	0
ENSP00000384290		1	0	1	0
ENSP00000394071		1	0	0	0
ENSP00000251166		0	0	0	0
ENSP00000326514		1	0	0	0
ENSP00000279392		0	0	1	0
ENSP00000370200		1	1	0	0
ENSP00000256578		1	0	0	1
ENSP00000400591		1	0	1	0
ENSP00000224807		0	1	0	1
ENSP00000276590		0	0	0	1
